"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p"
"PSA","stratification","ATE","7","30/70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.132844277505226,0.912420738044723,0.884262188549923
"PSA","stratification","ATE","7","30/70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.00846897109716905,0.0431708116157014,0.844505280803817
"PSA","stratification","ATE","7","30/70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.0031752720749,1.20806287073437,0.406466621152405
"PSA","stratification","ATE","7","30/70","~3","Raw","No","Expanded","trees",NA,NA,NA,0.00798987592545538,0.0254745980741117,0.753841501596366
"PSA","stratification","ATE","7","30/70","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.448341425485012,0.91628625442682,0.624705613379714
"PSA","stratification","ATE","7","40/60","~1.5","Raw","No","Original","trees",NA,NA,NA,0.0166163786929447,0.023800795445352,0.485185321766005
"PSA","stratification","ATE","7","40/60","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.816713437860315,0.840334638602744,0.331246935928502
"PSA","stratification","ATE","7","40/60","~3","Raw","No","Original","trees",NA,NA,NA,-0.0104218418411144,0.0218113092176998,0.632843318568369
"PSA","stratification","ATE","7","40/60","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.284089877450426,0.774949579280633,0.713971145697412
"PSA","stratification","ATE","7","40/60","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.0259906231134071,0.0248406333379278,0.295577774067009
"PSA","stratification","ATE","7","40/60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.17658998142949,0.859050974299579,0.170985324608048
"PSA","stratification","ATE","7","40/60","~3","Raw","No","Expanded","trees",NA,NA,NA,0.00112421544632715,0.0228897880505749,0.960834211549096
"PSA","stratification","ATE","7","40/60","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.0364912430474015,0.791638640771639,0.963239485743418
"PSA","stratification","ATE","7","50","~1.5","Raw","No","Original","trees",NA,NA,NA,0.0177333554711701,0.0228264409633116,0.43732352307763
"PSA","stratification","ATE","7","50","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.766373704336893,0.752785012091729,0.308777801602567
"PSA","stratification","ATE","7","50","~3","Raw","No","Original","trees",NA,NA,NA,-0.0187435375572388,0.0195786702910967,0.338508283358704
"PSA","stratification","ATE","7","50","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.347910290965413,0.687921350958016,0.613093618545345
"PSA","stratification","ATE","7","50","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.00693356960385275,0.0233683175767332,0.766720429340156
"PSA","stratification","ATE","7","50","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.495616731659244,0.761721059888134,0.515345346706235
"PSA","stratification","ATE","7","50","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.00895829097874733,0.0195802351841187,0.647348865740768
"PSA","stratification","ATE","7","50","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.101625300118774,0.691323487127202,0.883145894651292
"PSA","stratification","ATE","7","60","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.00263865314993289,0.0266205519562332,0.921052294185741
"PSA","stratification","ATE","7","60","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.111731614756237,0.80587037915891,0.889743076871548
"PSA","stratification","ATE","7","60","~3","Raw","No","Original","trees",NA,NA,NA,-0.0121417188353479,0.02015615023741,0.54698721662975
"PSA","stratification","ATE","7","60","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.225097650017333,0.747040079601191,0.763202104853372
"PSA","stratification","ATE","7","60","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.00430937462867273,0.0253916198620247,0.865250477432498
"PSA","stratification","ATE","7","60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.200396043238981,0.808303014613007,0.804220480595499
"PSA","stratification","ATE","7","60","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.010323575555152,0.0210472490431349,0.623836980192849
"PSA","stratification","ATE","7","60","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.260230979408219,0.774390107565068,0.73687094472164
"PSA","stratification","ATE","7","70","~1.5","Raw","No","Original","trees",NA,NA,NA,0.00131716405297089,0.0364201200299534,0.971153767939953
"PSA","stratification","ATE","7","70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.666998837985419,1.04616146070876,0.523828682372687
"PSA","stratification","ATE","7","70","~3","Raw","No","Original","trees",NA,NA,NA,0.0157548513125034,0.0219971436868427,0.47393703275785
"PSA","stratification","ATE","7","70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.650099941397695,0.867496491045482,0.453705098273773
"PSA","stratification","ATE","7","70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.00484222756509181,0.0384590736706677,0.899819108120562
"PSA","stratification","ATE","7","70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.308849136342722,1.02512135955819,0.763232152197812
