"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p"
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","111",0.0458101918252035,0.0254858882010991,0.0724711951515272
"Logistic","","",NA,"","~1.5","Raw",NA,"Original","listwise",NA,NA,"2.4",-0.00486346844152167,0.0226320631093364,0.829850863041669
"Logistic","","",NA,"","~3","Raw",NA,"Original","listwise",NA,NA,"2.4",0.0213902956547853,0.0221080237015535,0.333276451203773
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,NA,"111",-0.00660045925250849,0.0217997169155361,0.762059590028569
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,NA,"111",0.0209146600491399,0.0217622919625854,0.336526811952926
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","112",-0.0101072358260388,0.027034204743398,0.708557162857089
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","112",0.0490650573614428,0.0258443797345576,0.057833658326366
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,NA,"112",-0.00424475239112171,0.0219994026048451,0.846999277715548
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,NA,"112",0.0214133017217792,0.0220259220291117,0.330957827914693
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","115",0.00117511325483246,0.0279285107547845,0.966444130466146
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","115",0.0552929083189151,0.0269369375933384,0.0402850338618729
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,NA,"115",0.00811496696474588,0.0225504454448644,0.718953036114354
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,NA,"115",0.0252774059286967,0.0227271350664466,0.266046752694345
"Logistic","","",NA,"","~1.5","Raw",NA,"Original","listwise",NA,"Sample weights","2.2",0.0646168664723863,0.0292425447020934,0.0272814981091342
"Logistic","","",NA,"","~3","Raw",NA,"Original","listwise",NA,"Sample weights","2.2",0.0731931341029221,0.033451837010957,0.0288274019222267
"Logistic","","",NA,"","~1.5","Raw",NA,"Original","listwise",NA,NA,"2.2",0.0422751610636721,0.0253135812410169,0.0949077934340528
"Logistic","","",NA,"","~3","Raw",NA,"Original","listwise",NA,NA,"2.2",0.0345968539526619,0.0264137614036885,0.190262103372871
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","117",0.0152202366044888,0.0294402690064201,0.605244510782812
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","117",0.07009397657216,0.0303671946663794,0.0211291527986022
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,NA,"117",0.00291071328290857,0.0246941312807412,0.906170149722545
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,NA,"117",0.0278717704342755,0.0246685815084892,0.258539886236094
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","119",0.0484743384462887,0.0298437098319547,0.104536057419087
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","119",0.10226552575304,0.0319645975153775,0.00140761535604636
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,NA,"119",0.0190724261195922,0.0260663344725946,0.464358975984765
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,NA,"119",0.0496722918585921,0.0261243881671051,0.057252744820065
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","120",0.0562466951668792,0.0355658271786862,0.113987299500744
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","120",0.128736742004176,0.0331730427624345,0.000108860847647873
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,NA,"120",0.0220230888187732,0.0286029674414715,0.441324698923231
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,NA,"120",0.0644780886383842,0.0279654393457786,0.0211310500979854
"Logistic","","",NA,"","~1.5","Raw",NA,"Original","listwise",NA,"Sample weights","2",0.0181879819251211,0.0364213950939462,0.617589493319496
"Logistic","","",NA,"","~3","Raw",NA,"Original","listwise",NA,"Sample weights","2",0.0733324857954245,0.0402369691447865,0.0685824440192166
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","121",0.0646306756243829,0.036672130360129,0.0782148887469905
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","121",0.128231554945995,0.035412266164958,0.000303578755350287
"Logistic","","",NA,"","~1.5","Raw",NA,"Original","listwise",NA,NA,"2",0.0110599644253261,0.0328114262175738,0.73605914675767
"Logistic","","",NA,"","~3","Raw",NA,"Original","listwise",NA,NA,"2",0.0277005012693613,0.0330614480804978,0.402115513919187
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,NA,"121",0.033103689297749,0.0290719366128486,0.254835836395533
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,NA,"121",0.0669832477367587,0.0292385253463198,0.0219677932192507
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","123",0.0913546317950414,0.0362059214711802,0.0117361257411135
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","123",0.131650712634272,0.0378970451098196,0.000528235901388018
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,NA,"123",0.054898389365694,0.0306959828626206,0.0737026015800167
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,NA,"123",0.0770240260794357,0.0312632336587438,0.0137501370365222
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","125",0.111487241308505,0.0372995665568297,0.00284657767088802
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","125",0.160595185230941,0.0405636663346639,0.0000789284011627157
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,NA,"125",0.0786587562321411,0.0317444180905165,0.0132166783203955
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,NA,"125",0.0963346976585547,0.0335735832453154,0.00411303336536855
"Logistic","","",NA,"","~1.5","Raw",NA,"Original","listwise",NA,"Sample weights","1.8",0.0607120056575802,0.0453235677683434,0.180608483205508
"Logistic","","",NA,"","~3","Raw",NA,"Original","listwise",NA,"Sample weights","1.8",0.127175470540298,0.0595788959990877,0.0329630044208719
"Logistic","","",NA,"","~1.5","Raw",NA,"Original","listwise",NA,NA,"1.8",0.0123693252659798,0.0465520734988243,0.790462994481265
"Logistic","","",NA,"","~3","Raw",NA,"Original","listwise",NA,NA,"1.8",0.071060096543957,0.0451162471091624,0.115246174953865
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","128",0.108165121723264,0.0460534503751737,0.0189741528213403
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,"Sample weights","128",0.193558702332847,0.0438620644713692,0.0000109638426946546
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Original","listwise",NA,NA,"128",0.0944554161352337,0.0363423651051782,0.00934837136810889
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Original","listwise",NA,NA,"128",0.126169398334653,0.0386384608272762,0.00109315904108522
"Logistic","","",NA,"","~1.5","Raw",NA,"Expanded","listwise",NA,"Sample weights","2.6",-0.00855957526192348,0.0281257269890636,0.760932664658835
"Logistic","","",NA,"","~3","Raw",NA,"Expanded","listwise",NA,"Sample weights","2.6",0.0411098614349177,0.0298705610924356,0.169023539971224
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","110",-0.00255147299124361,0.0285103219242899,0.928706836753416
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","110",0.043828443944393,0.0307201157521232,0.153958135979261
"Logistic","","",NA,"","~1.5","Raw",NA,"Expanded","listwise",NA,NA,"2.6",-0.00470313132556226,0.0242346784675229,0.846124067397122
"Logistic","","",NA,"","~3","Raw",NA,"Expanded","listwise",NA,NA,"2.6",0.025221415276171,0.024270439919619,0.298719889863229
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,NA,"110",-0.00181927957970641,0.0246711988653929,0.941216451584872
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,NA,"110",0.012559572358397,0.0251252561401894,0.617160715810375
"Logistic","","",NA,"","~1.5","Raw",NA,"Expanded","listwise",NA,"Sample weights","2.4",0.0115266504973512,0.0316061743503714,0.71540903073113
"Logistic","","",NA,"","~3","Raw",NA,"Expanded","listwise",NA,"Sample weights","2.4",0.0594770893278714,0.0343927992440523,0.084031930711607
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","111",0.0103699633641722,0.0319211265043399,0.745348728602049
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","111",0.0548004122774968,0.0319785128604742,0.0868807124322443
"Logistic","","",NA,"","~1.5","Raw",NA,"Expanded","listwise",NA,NA,"2.4",0.00252080866426418,0.0284332154313234,0.929354364837259
"Logistic","","",NA,"","~3","Raw",NA,"Expanded","listwise",NA,NA,"2.4",0.0383349978286327,0.0276985295570284,0.166355879871921
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,NA,"111",0.0139291883514381,0.0270657866355855,0.606803267350961
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,NA,"111",0.0334627551917019,0.0269609010254981,0.214547151286391
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","112",0.0129908320725227,0.0326351330752328,0.690663014903018
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","112",0.0582229414638681,0.0327377382640718,0.0756118330019217
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,NA,"112",0.0179377781667126,0.0274820630843421,0.513944174842447
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,NA,"112",0.0335157210635781,0.0273662704732193,0.22068483622201
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","115",0.0209900545197774,0.0337328453074342,0.533913632313397
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","115",0.0630500059890011,0.0339458625666624,0.063533727570079
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,NA,"115",0.0293465599860249,0.0280647319481417,0.295711579544711
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,NA,"115",0.0382614755401911,0.028421794315193,0.178237389450584
"Logistic","","",NA,"","~1.5","Raw",NA,"Expanded","listwise",NA,"Sample weights","2.2",0.104099279774984,0.0337516648746611,0.00209192667031902
"Logistic","","",NA,"","~3","Raw",NA,"Expanded","listwise",NA,"Sample weights","2.2",0.0964993070721536,0.0418854013216624,0.0214175063504436
"Logistic","","",NA,"","~1.5","Raw",NA,"Expanded","listwise",NA,NA,"2.2",0.0743548055879386,0.0315029004404255,0.0182624904953779
"Logistic","","",NA,"","~3","Raw",NA,"Expanded","listwise",NA,NA,"2.2",0.061765174243864,0.0325676061624202,0.0578910834454574
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","117",0.0308358870517862,0.0359625913112186,0.39139116611042
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","117",0.083607497528394,0.0379424817017106,0.0277700719907864
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,NA,"117",0.0227198498525178,0.0307836585637962,0.460484645252121
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,NA,"117",0.058057200606746,0.0306246989780947,0.0579912634966126
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","119",0.0592226960561687,0.0364732451686707,0.104726922018105
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","119",0.107943805942526,0.0397334640004375,0.00670023286766766
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,NA,"119",0.0335044158751517,0.0325494590408685,0.303320572296338
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,NA,"119",0.0728262926840025,0.0316265355522888,0.0212959609395327
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","120",0.0853227647276703,0.0420244591056658,0.0425708673882395
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","120",0.134307162421837,0.0413780970318748,0.00120737554790812
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,NA,"120",0.0418186037314438,0.0362929908410148,0.249218299756464
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,NA,"120",0.0828255742830323,0.0341724782095652,0.0153611387644991
"Logistic","","",NA,"","~1.5","Raw",NA,"Expanded","listwise",NA,"Sample weights","2",0.0448137079581951,0.0426874927223895,0.294038915852176
"Logistic","","",NA,"","~3","Raw",NA,"Expanded","listwise",NA,"Sample weights","2",0.110132625277023,0.0519284970627444,0.0341610656929717
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","121",0.0996806437934072,0.0439068348977592,0.023388273723548
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","121",0.132476689437912,0.0459061728145153,0.00398257581626902
"Logistic","","",NA,"","~1.5","Raw",NA,"Expanded","listwise",NA,NA,"2",0.0396571964021626,0.0423230576732465,0.3487525859989
"Logistic","","",NA,"","~3","Raw",NA,"Expanded","listwise",NA,NA,"2",0.055503943631532,0.0419425472144098,0.18572476667904
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,NA,"121",0.0691447328017825,0.037634653931105,0.0661711748297817
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,NA,"121",0.0887315823444148,0.0366033876854779,0.0153448663426194
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","123",0.119164637087094,0.0442330844833066,0.00716974151020413
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","123",0.136514586696151,0.0485979255011628,0.00505922901222415
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,NA,"123",0.0909346685581608,0.039104923598423,0.020050473260767
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,NA,"123",0.100647419089336,0.0388095916567261,0.00950419691786869
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","125",0.145797922154885,0.0435014604131554,0.000831554057878241
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,"Sample weights","125",0.1865621787498,0.0483216359931466,0.000119782195566687
"Logistic","","",NA,"","~1.5","Within-sex SS",NA,"Expanded","listwise",NA,NA,"125",0.119784105110707,0.0404323006799361,0.0030506811580745
"Logistic","","",NA,"","~3","Within-sex SS",NA,"Expanded","listwise",NA,NA,"125",0.133190409316351,0.0422501944199476,0.0016192250947119
"Logistic","","",NA,"","~1.5","Raw",NA,"Expanded","listwise",NA,"Sample weights","1.8",0.126877881459357,0.0470120169725639,0.00706584921266094
