"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p","CI.lower","CI.upper"
"PSA","stratification","ATE","7","50","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.00645037262471918,0.0196053710067711,0.742182005266072,-0.0448761937015362,0.0319754484520979
"PSA","stratification","ATE","7","50","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.0220129753368262,0.690071005885308,0.974555297449338,-1.3305013429737,1.37452729364736
"PSA","stratification","ATE","7","60","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.00282861334421553,0.02382585901468,0.905508970745507,-0.0495264389137173,0.0438692122252862
"PSA","stratification","ATE","7","60","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,0.091766162947679,0.794629260547547,0.90807399472962,-1.46567856878721,1.64921089468257
"PSA","stratification","ATE","7","60","~3","Raw","No","Original","trees",NA,NA,NA,-0.0187111856092824,0.0213150291018274,0.380135352666188,-0.0604878749782874,0.0230655037597225
"PSA","stratification","ATE","7","60","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.593983464443178,0.801955707254692,0.458980788218371,-0.977820838972364,2.16578776785872
"PSA","stratification","ATE","7","60","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.00180599766240089,0.025232225684815,0.942947318855715,-0.0512602512544249,0.0476482559296231
"PSA","stratification","ATE","7","60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.119533322751584,0.808411099073602,0.882466670758147,-1.46492331613512,1.70398996163829
"PSA","stratification","ATE","7","60","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.00992182802717621,0.0211155643639029,0.638490097770095,-0.0513075736936634,0.0314639176393109
"PSA","stratification","ATE","7","60","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.22820821443692,0.777243650885594,0.769084538428987,-1.29516134851127,1.75157777738511
"PSA","stratification","ATE","7","70","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.00900752421466859,0.0384082563985267,0.814605116994264,-0.084286323464761,0.0662712750354238
"PSA","stratification","ATE","7","70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.156258873495043,1.04590345008512,0.881252526517633,-2.20619196696806,1.89367421997797
"PSA","stratification","ATE","7","70","~3","Raw","No","Original","trees",NA,NA,NA,0.0233635140202409,0.020576941213532,0.256333735120462,-0.0169665496702798,0.0636935777107616
"PSA","stratification","ATE","7","70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-1.02129812114375,0.761182518104037,0.179836366610399,-2.51318844228917,0.470592200001668
"PSA","stratification","ATE","7","70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.00491281151217934,0.0384601556243594,0.898369512476512,-0.0802933313757294,0.0704677083513707
"PSA","stratification","ATE","7","70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.308647213529761,1.02540918194828,0.763446757402249,-2.31841227956507,1.70111785250554
"PSA","stratification","ATE","7","70","~3","Raw","No","Expanded","trees",NA,NA,NA,0.00788943025229467,0.0235512787614006,0.737667954039506,-0.0382702279099135,0.0540490884145028
